RECNO,Name,StaadName,OD,Tw,AX,I,Z,C
67,HSS6-5/8X.500,HSSP6.625X0.5,6.625,0.465,9.0,42.9,17.7,25.9
68,HSS6-5/8X.432,HSSP6.625X0.432,6.625,0.403,7.88,38.3,15.6,23.1
69,HSS6-5/8X.375,HSSP6.625X0.375,6.625,0.349,6.88,34.0,13.8,20.5
70,HSS6-5/8X.312,HSSP6.625X0.312,6.625,0.291,5.79,29.1,11.7,17.6
71,HSS6-5/8X.280,HSSP6.625X0.28,6.625,0.261,5.22,36.5,10.6,16.0
72,HSS6-5/8X.250,HSSP6.625X0.25,6.625,0.233,4.68,23.9,9.52,14.4
73,HSS6-5/8X.188,HSSP6.625X0.188,6.625,0.174,3.53,18.4,7.24,11.1
74,HSS6-5/8X.125,HSSP6.625X0.125,6.625,0.116,2.37,12.6,4.92,7.59
75,HSS6-1/8X.500,HSSP6.125X0.5,6.125,0.465,8.27,33.3,14.9,21.8
76,HSS6-1/8X.375,HSSP6.125X0.375,6.125,0.349,6.33,26.5,11.7,17.3
77,HSS6-1/8X.312,HSSP6.125X0.312,6.125,0.291,5.33,22.7,9.91,14.9
78,HSS6-1/8X.250,HSSP6.125X0.25,6.125,0.233,4.31,18.7,8.09,12.2
79,HSS6-1/8X.188,HSSP6.125X0.188,6.125,0.174,3.25,14.4,6.16,9.41
80,HSS6X.500,HSSP6X0.5,6.0,0.465,8.09,31.2,14.3,20.8
81,HSS6X.375,HSSP6X0.375,6.0,0.349,6.2,24.8,11.2,16.6
82,HSS6X.312,HSSP6X0.312,6.0,0.291,5.22,21.3,9.49,14.2
83,HSS6X.280,HSSP6X0.28,6.0,0.261,4.71,19.4,8.6,12.9
84,HSS6X.250,HSSP6X0.25,6.0,0.233,4.22,17.6,7.75,11.7
85,HSS6X.188,HSSP6X0.188,6.0,0.174,3.18,13.5,5.91,9.02
86,HSS6X.125,HSSP6X0.125,6.0,0.116,2.14,9.28,4.02,6.19
87,HSS5-9/16X.375,HSSP5.563X0.375,5.563,0.349,5.72,19.5,9.5,14.0
88,HSS5-9/16X.258,HSSP5.563X0.258,5.563,0.241,4.03,14.3,6.83,10.3
89,HSS5-9/16X.188,HSSP5.563X0.188,5.563,0.174,2.95,10.7,5.05,7.7
90,HSS5-9/16X.134,HSSP5.563X0.134,5.563,0.125,2.14,7.9,3.7,5.68
91,HSS5-1/2X.500,HSSP5.5X0.5,5.5,0.465,7.36,23.5,11.8,17.1
92,HSS5-1/2X.375,HSSP5.5X0.375,5.5,0.349,5.65,18.8,9.27,13.7
93,HSS5-1/2X.258,HSSP5.5X0.258,5.5,0.241,3.98,13.8,6.67,10.0
94,HSS5X.500,HSSP5X0.5,5.0,0.465,6.62,17.2,9.6,13.8
95,HSS5X.375,HSSP5X0.375,5.0,0.349,5.1,13.9,7.56,11.1
96,HSS5X.312,HSSP5X0.312,5.0,0.291,4.3,12.0,6.46,9.58
97,HSS5X.258,HSSP5X0.258,5.0,0.241,3.6,10.2,5.46,8.18
98,HSS5X.250,HSSP5X0.25,5.0,0.233,3.49,9.94,5.3,7.95
99,HSS5X.188,HSSP5X0.188,5.0,0.174,2.64,7.69,4.05,6.15
100,HSS5X.125,HSSP5X0.125,5.0,0.116,1.78,5.31,2.77,4.25
101,HSS4-1/2X.337,HSSP4.5X0.337,4.5,0.315,4.14,9.12,5.53,8.11
102,HSS4-1/2X.237,HSSP4.5X0.237,4.5,0.221,2.97,6.82,4.05,6.06
103,HSS4-1/2X.188,HSSP4.5X0.188,4.5,0.174,2.36,5.54,3.26,4.93
104,HSS4-1/2X.125,HSSP4.5X0.125,4.5,0.116,1.6,3.84,2.23,3.41
105,HSS4X.337,HSSP4X0.337,4.0,0.315,3.65,6.24,4.29,6.24
106,HSS4X.313,HSSP4X0.313,4.0,0.291,3.39,5.87,4.01,5.87
107,HSS4X.250,HSSP4X0.25,4.0,0.233,2.76,4.91,3.31,4.91
108,HSS4X.237,HSSP4X0.237,4.0,0.221,2.62,4.7,3.16,4.7
109,HSS4X.226,HSSP4X0.226,4.0,0.211,2.51,4.52,3.03,4.52
110,HSS4X.220,HSSP4X0.22,4.0,0.205,2.44,4.41,2.96,4.41
111,HSS4X.188,HSSP4X0.188,4.0,0.174,2.09,3.83,2.55,3.83
112,HSS4X.125,HSSP4X0.125,4.0,0.116,1.42,2.67,1.75,2.67
113,HSS3-1/2X.313,HSSP3.5X0.313,3.5,0.291,2.93,3.81,3.0,4.35
114,HSS3-1/2X.300,HSSP3.5X0.3,3.5,0.28,2.83,3.7,2.91,4.23
115,HSS3-1/2X.250,HSSP3.5X0.25,3.5,0.233,2.39,3.21,2.49,3.66
116,HSS3-1/2X.216,HSSP3.5X0.216,3.5,0.201,2.08,2.84,2.19,3.25
117,HSS3-1/2X.203,HSSP3.5X0.203,3.5,0.189,1.97,2.7,2.07,3.09
118,HSS3-1/2X.188,HSSP3.5X0.188,3.5,0.174,1.82,2.52,1.93,2.88
119,HSS3-1/2X.125,HSSP3.5X0.125,3.5,0.116,1.23,1.77,1.33,2.02
120,HSS3X.300,HSSP3X0.3,3.0,0.28,2.39,2.24,2.08,2.98
121,HSS3X.250,HSSP3X0.25,3.0,0.233,2.03,1.95,1.79,2.6
122,HSS3X.216,HSSP3X0.216,3.0,0.201,1.77,1.74,1.58,2.32
123,HSS3X.203,HSSP3X0.203,3.0,0.189,1.67,1.66,1.5,2.21
124,HSS3X.188,HSSP3X0.188,3.0,0.174,1.54,1.55,1.39,2.06
125,HSS3X.152,HSSP3X0.152,3.0,0.142,1.27,1.3,1.16,1.74
126,HSS3X.134,HSSP3X0.134,3.0,0.125,1.13,1.17,1.03,1.56
127,HSS3X.120,HSSP3X0.120,3.0,0.112,1.02,1.06,0.935,1.41
128,HSS2-7/8X.250,HSSP2.875X0.25,2.875,0.233,1.93,1.7,1.63,2.37
129,HSS2-7/8X.203,HSSP2.875X0.203,2.875,0.189,1.59,1.45,1.37,2.01
130,HSS2-7/8X.188,HSSP2.875X0.188,2.875,0.174,1.48,1.35,1.27,1.88
131,HSS2-7/8X.125,HSSP2.875X0.125,2.875,0.116,1.01,0.958,0.884,1.33
132,HSS2-1/2X.250,HSSP2.5X0.25,2.5,0.233,1.66,1.08,1.2,1.72
133,HSS2-1/2X.188,HSSP2.5X0.188,2.5,0.174,1.27,0.865,0.943,1.38
134,HSS2-1/2X.125,HSSP2.5X0.125,2.5,0.116,0.869,0.619,0.66,0.99
135,HSS2-3/8X.250,HSSP2.375X0.25,2.375,0.233,1.57,0.91,1.07,1.53
136,HSS2-3/8X.218,HSSP2.375X0.218,2.375,0.204,1.39,0.827,0.964,1.39
137,HSS2-3/8X.188,HSSP2.375X0.188,2.375,0.174,1.2,0.733,0.845,1.23
138,HSS2-3/8X.154,HSSP2.375X0.154,2.375,0.143,1.0,0.627,0.713,1.06
139,HSS2-3/8X.125,HSSP2.375X0.125,2.375,0.116,0.823,0.527,0.592,0.887
140,HSS1-7/8X.145,HSSP1.9X0.145,1.9,0.135,0.749,0.293,0.421,0.617
141,HSS1-11/16X.140,HSSP1.66X0.14,1.66,0.13,0.625,0.184,0.305,0.444
