RECNO,Name,StaadName,AX,D,B,T,Iz,Iy,Ix,Zz,Zy,C
283,HSS4-1/2X4-1/2X1/2,HSST4.5X4.5X0.5,6.95,4.5,4.5,0.465,18.1,18.1,31.3,10.2,10.2,14.8
284,HSS4-1/2X4-1/2X3/8,HSST4.5X4.5X0.375,5.48,4.5,4.5,0.349,15.3,15.3,25.7,8.36,8.36,11.9
285,HSS4-1/2X4-1/2X5/16,HSST4.5X4.5X0.313,4.68,4.5,4.5,0.291,13.5,13.5,22.3,7.27,7.27,10.2
286,HSS4-1/2X4-1/2X1/4,HSST4.5X4.5X0.25,3.84,4.5,4.5,0.233,11.4,11.4,18.5,6.06,6.06,8.44
287,HSS4-1/2X4-1/2X3/16,HSST4.5X4.5X0.188,2.93,4.5,4.5,0.174,9.02,9.02,14.4,4.71,4.71,6.49
288,HSS4-1/2X4-1/2X1/8,HSST4.5X4.5X0.125,2.0,4.5,4.5,0.116,6.35,6.35,9.92,3.27,3.27,4.45
289,HSS4X4X1/2,HSST4X4X0.5,6.02,4.0,4.0,0.465,11.9,11.9,21.0,7.7,7.7,11.2
290,HSS4X4X3/8,HSST4X4X0.375,4.78,4.0,4.0,0.349,10.3,10.3,17.5,6.39,6.39,9.14
291,HSS4X4X5/16,HSST4X4X0.313,4.1,4.0,4.0,0.291,9.14,9.14,15.3,5.59,5.59,7.91
292,HSS4X4X1/4,HSST4X4X0.25,3.37,4.0,4.0,0.233,7.8,7.8,12.8,4.69,4.69,6.56
293,HSS4X4X3/16,HSST4X4X0.188,2.58,4.0,4.0,0.174,6.21,6.21,10.0,3.67,3.67,5.07
294,HSS4X4X1/8,HSST4X4X0.125,1.77,4.0,4.0,0.116,4.4,4.4,6.91,2.56,2.56,3.49
295,HSS4X3X3/8,HSST4X3X0.375,4.09,4.0,3.0,0.349,7.93,5.01,10.6,5.12,4.18,6.59
296,HSS4X3X5/16,HSST4X3X0.313,3.52,4.0,3.0,0.291,7.14,4.52,9.41,4.51,3.69,5.75
297,HSS4X3X1/4,HSST4X3X0.25,2.91,4.0,3.0,0.233,6.15,3.91,7.96,3.81,3.12,4.81
298,HSS4X3X3/16,HSST4X3X0.188,2.24,4.0,3.0,0.174,4.93,3.16,6.26,3.0,2.46,3.74
299,HSS4X3X1/8,HSST4X3X0.125,1.54,4.0,3.0,0.116,3.52,2.27,4.38,2.11,1.73,2.59
300,HSS4X2-1/2X3/8,HSST4X2.5X0.375,3.74,4.0,2.5,0.349,6.77,3.17,7.57,4.48,3.2,5.32
301,HSS4X2-1/2X5/16,HSST4X2.5X0.313,3.23,4.0,2.5,0.291,6.13,2.89,6.77,3.97,2.85,4.67
302,HSS4X2-1/2X1/4,HSST4X2.5X0.25,2.67,4.0,2.5,0.233,5.32,2.53,5.78,3.38,2.43,3.93
303,HSS4X2-1/2X3/16,HSST4X2.5X0.188,2.06,4.0,2.5,0.174,4.3,2.06,4.59,2.67,1.93,3.08
304,HSS4X2-1/2X1/8,HSST4X2.5X0.125,1.42,4.0,2.5,0.116,3.09,1.49,3.23,1.88,1.36,2.14
305,HSS4X2X3/8,HSST4X2X0.375,3.39,4.0,2.0,0.349,5.6,1.8,4.83,3.84,2.31,4.04
306,HSS4X2X5/16,HSST4X2X0.313,2.94,4.0,2.0,0.291,5.13,1.67,4.4,3.43,2.08,3.59
307,HSS4X2X1/4,HSST4X2X0.25,2.44,4.0,2.0,0.233,4.49,1.48,3.82,2.94,1.79,3.05
308,HSS4X2X3/16,HSST4X2X0.188,1.89,4.0,2.0,0.174,3.66,1.22,3.08,2.34,1.43,2.41
309,HSS4X2X1/8,HSST4X2X0.125,1.3,4.0,2.0,0.116,2.65,0.9,2.2,1.66,1.02,1.69
310,HSS3-1/2X3-1/2X3/8,HSST3.5X3.5X0.375,4.09,3.5,3.5,0.349,6.49,6.49,11.2,4.69,4.69,6.77
311,HSS3-1/2X3-1/2X5/16,HSST3.5X3.5X0.313,3.52,3.5,3.5,0.291,5.84,5.84,9.89,4.14,4.14,5.9
312,HSS3-1/2X3-1/2X1/4,HSST3.5X3.5X0.25,2.91,3.5,3.5,0.233,5.04,5.04,8.35,3.5,3.5,4.92
313,HSS3-1/2X3-1/2X3/16,HSST3.5X3.5X0.188,2.24,3.5,3.5,0.174,4.05,4.05,6.56,2.76,2.76,3.83
314,HSS3-1/2X3-1/2X1/8,HSST3.5X3.5X0.125,1.54,3.5,3.5,0.116,2.9,2.9,4.58,1.93,1.93,2.65
315,HSS3-1/2X2-1/2X3/8,HSS3.5X2.5X0.375,3.39,3.5,2.5,0.349,4.75,2.77,6.16,3.59,2.82,4.57
316,HSS3-1/2X2-1/2X5/16,HSS3.5X2.5X0.313,2.94,3.5,2.5,0.291,4.34,2.54,5.53,3.2,2.52,4.03
317,HSS3-1/2X2-1/2X1/4,HSS3.5X2.5X0.25,2.44,3.5,2.5,0.233,3.79,2.23,4.75,2.74,2.16,3.4
318,HSS3-1/2X2-1/2X3/16,HSS3.5X2.5X0.188,1.89,3.5,2.5,0.174,3.09,1.82,3.78,2.18,1.72,2.67
319,HSS3-1/2X2-1/2X1/8,HSS3.5X2.5X0.125,1.3,3.5,2.5,0.116,2.23,1.33,2.67,1.54,1.22,1.87
320,HSS3-1/2X2X1/4,HSST3.5X2X0.25,2.21,3.5,2.0,0.233,3.17,1.3,3.16,2.36,1.58,2.64
321,HSS3-1/2X2X3/16,HSST3.5X2X0.188,1.71,3.5,2.0,0.174,2.61,1.08,2.55,1.89,1.27,2.09
322,HSS3-1/2X2X1/8,HSST3.5X2X0.125,1.19,3.5,2.0,0.116,1.9,0.8,1.83,1.34,0.91,1.47
323,HSS3-1/2X1-1/2X1/4,HSST3.5X1.5X0.25,1.97,3.5,1.5,0.233,2.55,0.64,1.79,1.98,1.06,1.88
324,HSS3-1/2X1-1/2X3/16,HSST3.5X1.5X0.188,1.54,3.5,1.5,0.174,2.12,0.54,1.49,1.6,0.87,1.51
325,HSS3-1/2X1-1/2X1/8,HSST3.5X1.5X0.125,1.07,3.5,1.5,0.116,1.57,0.41,1.09,1.15,0.63,1.08
326,HSS3X3X3/8,HSST3X3X0.375,3.39,3.0,3.0,0.349,3.78,3.78,6.64,3.25,3.25,4.74
327,HSS3X3X5/16,HSST3X3X0.313,2.94,3.0,3.0,0.291,3.45,3.45,5.94,2.9,2.9,4.18
328,HSS3X3X1/4,HSST3X3X0.25,2.44,3.0,3.0,0.233,3.02,3.02,5.08,2.48,2.48,3.52
329,HSS3X3X3/16,HSST3X3X0.188,1.89,3.0,3.0,0.174,2.46,2.46,4.03,1.97,1.97,2.76
330,HSS3X3X1/8,HSST3X3X0.125,1.3,3.0,3.0,0.116,1.78,1.78,2.84,1.4,1.4,1.92
331,HSS3X2-1/2X5/16,HSST3X2.5X0.313,2.64,3.0,2.5,0.291,2.92,2.18,4.34,2.51,2.2,3.39
332,HSS3X2-1/2X1/4,HSST3X2.5X0.25,2.21,3.0,2.5,0.233,2.57,1.93,3.74,2.16,1.9,2.87
333,HSS3X2-1/2X3/16,HSST3X2.5X0.188,1.71,3.0,2.5,0.174,2.11,1.59,3.0,1.73,1.52,2.27
334,HSS3X2-1/2X1/8,HSST3X2.5X0.125,1.19,3.0,2.5,0.116,1.54,1.16,2.13,1.23,1.09,1.59
335,HSS3X2X5/16,HSST3X2X0.313,2.35,3.0,2.0,0.291,2.38,1.24,2.87,2.11,1.58,2.6
336,HSS3X2X1/4,HSST3X2X0.25,1.97,3.0,2.0,0.233,2.13,1.11,2.52,1.83,1.38,2.23
337,HSS3X2X3/16,HSST3X2X0.188,1.54,3.0,2.0,0.174,1.77,0.93,2.05,1.48,1.12,1.78
338,HSS3X2X1/8,HSST3X2X0.125,1.07,3.0,2.0,0.116,1.3,0.69,1.47,1.06,0.8,1.25
339,HSS3X1-1/2X1/4,HSST3X1.5X0.25,1.74,3.0,1.5,0.233,1.68,0.54,1.44,1.51,0.91,1.58
340,HSS3X1-1/2X3/16,HSST3X1.5X0.188,1.37,3.0,1.5,0.174,1.42,0.47,1.21,1.24,0.75,1.28
341,HSS3X1-1/2X1/8,HSST3X1.5X0.125,0.956,3.0,1.5,0.116,1.06,0.36,0.89,0.9,0.55,0.92
342,HSS3X1X3/16,HSST3X1X0.188,1.19,3.0,1.0,0.174,1.07,0.17,0.53,0.99,0.43,0.79
343,HSS3X1X1/8,HSST3X1X0.125,0.84,3.0,1.0,0.116,0.82,0.14,0.41,0.73,0.33,0.59
344,HSS2-1/2X2-1/2X5/16,HSST2.5X2.5X0.313,2.35,2.5,2.5,0.291,1.82,1.82,3.2,1.88,1.88,2.74
345,HSS2-1/2X2-1/2X1/4,HSST2.5X2.5X0.25,1.97,2.5,2.5,0.233,1.63,1.63,2.79,1.63,1.63,2.35
346,HSS2-1/2X2-1/2X3/16,HSST2.5X2.5X0.188,1.54,2.5,2.5,0.174,1.35,1.35,2.25,1.32,1.32,1.86
347,HSS2-1/2X2-1/2X1/8,HSST2.5X2.5X0.125,1.07,2.5,2.5,0.116,1.0,1.0,1.61,0.95,0.95,1.31
348,HSS2-1/2X2X1/4,HSST2.5X2X0.25,1.74,2.5,2.0,0.233,1.33,0.93,1.9,1.37,1.17,1.82
349,HSS2-1/2X2X3/16,HSST2.5X2X0.188,1.37,2.5,2.0,0.174,1.12,0.79,1.55,1.12,0.96,1.46
350,HSS2-1/2X2X1/8,HSST2.5X2X0.125,0.956,2.5,2.0,0.116,0.83,0.59,1.12,0.81,0.69,1.04
351,HSS2-1/2X1-1/2X1/4,HSST2.5X1.5X0.25,1.51,2.5,1.5,0.233,1.03,0.45,1.1,1.11,0.76,1.29
352,HSS2-1/2X1-1/2X3/16,HSST2.5X1.5X0.188,1.19,2.5,1.5,0.174,0.88,0.39,0.93,0.92,0.64,1.05
353,HSS2-1/2X1-1/2X1/8,HSST2.5X1.5X0.125,0.84,2.5,1.5,0.116,0.67,0.3,0.69,0.67,0.47,0.76
354,HSS2-1/2X1X3/16,HSST2.5X1X0.188,1.02,2.5,1.0,0.174,0.65,0.14,0.41,0.71,0.36,0.65
355,HSS2-1/2X1X1/8,HSST2.5X1X0.125,0.724,2.5,1.0,0.116,0.5,0.12,0.32,0.53,0.27,0.48
356,HSS2-1/4X2-1/4X1/4,HSST2.25X2.25X0.25,1.74,2.25,2.25,0.233,1.13,1.13,1.96,1.28,1.28,1.85
357,HSS2-1/4X2-1/4X3/16,HSST2.25X2.25X0.188,1.37,2.25,2.25,0.174,0.95,0.95,1.6,1.04,1.04,1.48
358,HSS2-1/4X2-1/4X1/8,HSST2.25X2.25X0.125,0.956,2.25,2.25,0.116,0.71,0.71,1.15,0.76,0.76,1.05
359,HSS2-1/4X2X3/16,HSST2.25X2X0.188,1.28,2.25,2.0,0.174,0.86,0.71,1.32,0.95,0.88,1.3
360,HSS2-1/4X2X1/8,HSST2.25X2X0.125,0.898,2.25,2.0,0.116,0.65,0.54,0.96,0.69,0.64,0.93
361,HSS2X2X1/4,HSST2X2X0.25,1.51,2.0,2.0,0.233,0.75,0.75,1.31,0.96,0.96,1.41
362,HSS2X2X3/16,HSST2X2X0.188,1.19,2.0,2.0,0.174,0.64,0.64,1.09,0.8,0.8,1.14
363,HSS2X2X1/8,HSST2X2X0.125,0.84,2.0,2.0,0.116,0.49,0.49,0.8,0.58,0.58,0.82
364,HSS2X1-1/2X3/16,HSST2X1.5X0.188,1.02,2.0,1.5,0.174,0.5,0.31,0.66,0.64,0.52,0.82
365,HSS2X1-1/2X1/8,HSST2X1.5X0.125,0.724,2.0,1.5,0.116,0.38,0.24,0.5,0.48,0.39,0.6
366,HSS2X1X3/16,HSST2X1X0.188,0.845,2.0,1.0,0.174,0.35,0.11,0.3,0.48,0.29,0.51
367,HSS2X1X1/8,HSST2X1X0.125,0.608,2.0,1.0,0.116,0.28,0.09,0.24,0.37,0.22,0.38
