RECNO,Name,StaadName,AX,D,B,T,Iz,Iy,Ix,Zz,Zy
114,TUB100608,TUB100608,14.4,10.0,6.0,0.5,181.0,80.8,187.0,45.6,31.9
115,TUB1006010,TUB1006010,17.4,10.0,6.0,0.625,211.0,93.5,221.0,54.2,37.7
116,TUB1001004,TUB1001004,9.59,10.0,10.0,0.25,151.0,151.0,235.0,34.9,34.9
117,TUB1001005,TUB1001005,11.9,10.0,10.0,0.3125,183.0,183.0,289.0,42.8,42.8
118,TUB1001006,TUB1001006,14.1,10.0,10.0,0.375,214.0,214.0,341.0,50.4,50.4
119,TUB1001008,TUB1001008,18.4,10.0,10.0,0.5,271.0,271.0,439.0,64.6,64.6
120,TUB10010010,TUB10010010,22.4,10.0,10.0,0.625,321.0,321.0,529.0,77.6,77.6
121,TUB120203,TUB120203,5.02,12.0,2.0,0.1875,72.0,3.8,12.8,16.6,4.24
122,TUB120204,TUB120204,6.59,12.0,2.0,0.25,92.2,4.6,15.9,21.4,5.38
123,TUB120403,TUB120403,5.77,12.0,4.0,0.1875,98.2,17.5,49.3,21.0,9.63
124,TUB120404,TUB120404,7.59,12.0,4.0,0.25,127.0,22.3,63.6,27.3,12.5
125,TUB120405,TUB120405,9.36,12.0,4.0,0.3125,153.0,26.6,76.9,33.3,15.1
126,TUB120406,TUB120406,11.1,12.0,4.0,0.375,178.0,30.5,89.0,39.0,17.6
127,TUB120408,TUB120408,14.4,12.0,4.0,0.5,221.0,36.9,110.0,49.4,22.0
128,TUB120603,TUB120603,6.52,12.0,6.0,0.1875,124.0,42.8,101.0,25.4,15.8
129,TUB120604,TUB120604,8.59,12.0,6.0,0.25,161.0,55.2,132.0,33.2,20.6
130,TUB120605,TUB120605,10.6,12.0,6.0,0.3125,196.0,66.6,162.0,40.6,25.1
131,TUB120606,TUB120606,12.6,12.0,6.0,0.375,228.0,77.2,190.0,47.7,29.4
132,TUB120608,TUB120608,16.4,12.0,6.0,0.5,287.0,96.0,241.0,60.9,37.4
133,TUB1206010,TUB1206010,19.9,12.0,6.0,0.625,337.0,112.0,286.0,72.9,44.5
134,TUB120804,TUB120804,9.59,12.0,8.0,0.25,192.0,105.0,216.0,39.1,29.6
135,TUB120805,TUB120805,11.9,12.0,8.0,0.3125,237.0,128.0,265.0,47.9,36.3
136,TUB120806,TUB120806,14.1,12.0,8.0,0.375,288.0,149.0,312.0,56.5,42.7
