RECNO,Name,StaadName,AX,D,Bf,Tf,Tw,Iz,Ix,Ct,Iy,Zx,Zy,T,K,K1
1,M4X13,M4X13,3.81,4.0,3.94,0.371,0.254,10.5,0.19,0.41,3.4,6.1,2.7,,,
2,M5X18,M5X18,5.55,5.0,5.003,0.416,0.316,24.1,0.34,0.51,7.9,11.0,5.0,3.375,0.8125,0.5
3,M6X4,M6X4,1.29,6.0,1.844,0.171,0.114,7.2,0.01,0.84,0.2,2.8,0.3,5.25,0.375,0.25
4,M6X20,M6X20,5.89,6.0,5.938,0.379,0.25,39.0,0.29,0.53,11.6,14.5,6.3,,,
5,M8X6.5,M8X6,1.92,8.0,2.281,0.189,0.135,18.5,0.02,1.17,0.3,5.4,0.5,6.875,0.5625,0.375
6,M10X9,M10X9,2.65,10.0,2.69,0.206,0.157,38.8,0.03,1.53,0.6,9.2,0.8,8.875,0.5625,0.375
7,M12X11.8,M12X11,3.47,12.0,3.065,0.225,0.177,71.9,0.05,1.89,1.0,14.3,1.1,10.875,0.5625,0.375
8,M14X18,M14X18,5.1,14.0,4.0,0.27,0.215,148.0,0.1,2.12,2.6,24.9,2.2,12.75,0.625,
