RECNO,Name,StaadName,AX,D,B,T,Iz,Iy,Ix,Zz,Zy
1,TUB20203,TUB20203,1.27,2.0,2.0,0.1875,0.7,0.7,1.2,0.84,0.84
2,TUB20204,TUB20204,1.59,2.0,2.0,0.25,0.8,0.8,1.4,1.0,1.0
3,TUB20205,TUB20205,1.86,2.0,2.0,0.3125,0.88,0.88,1.49,1.11,1.11
4,TUB25253,TUB25253,1.64,2.5,2.5,0.1875,1.4,1.4,2.4,1.4,1.4
5,TUB25254,TUB25254,2.09,2.5,2.5,0.25,1.7,1.7,2.9,1.71,1.71
6,TUB25255,TUB25255,2.48,2.5,2.5,0.3125,1.87,1.87,3.32,1.96,1.96
7,TUB30203,TUB30203,1.64,3.0,2.0,0.1875,1.9,1.0,2.2,1.57,1.18
8,TUB30204,TUB30204,2.09,3.0,2.0,0.25,2.2,1.2,2.6,1.92,1.44
9,TUB30303,TUB30303,2.02,3.0,3.0,0.1875,2.6,2.6,4.3,2.1,2.1
10,TUB30304,TUB30304,2.59,3.0,3.0,0.25,3.2,3.2,5.4,2.61,2.61
11,TUB30305,TUB30305,3.11,3.0,3.0,0.3125,3.6,3.6,6.2,3.04,3.04
12,TUB35253,TUB35253,2.02,3.5,2.5,0.1875,3.26,1.93,4.02,2.31,1.83
13,TUB35254,TUB35254,2.59,3.5,2.5,0.25,3.97,2.33,4.99,2.88,2.28
14,TUB35353,TUB35353,2.39,3.5,3.5,0.1875,4.3,4.3,7.0,2.93,2.93
15,TUB35354,TUB35354,3.09,3.5,3.5,0.25,5.3,5.3,8.8,3.7,3.7
16,TUB35355,TUB35355,3.73,3.5,3.5,0.3125,6.1,6.1,10.4,4.35,4.35
17,TUB40203,TUB40203,2.02,4.0,2.0,0.1875,3.9,1.3,3.8,2.48,1.52
18,TUB40204,TUB40204,2.59,4.0,2.0,0.25,4.7,1.5,4.0,3.09,1.88
19,TUB40205,TUB40205,3.11,4.0,2.0,0.3125,5.3,1.7,4.6,3.6,2.17
20,TUB40303,TUB40303,2.39,4.0,3.0,0.1875,5.2,3.3,6.7,3.2,2.62
21,TUB40304,TUB40304,3.09,4.0,3.0,0.25,6.5,4.1,8.4,4.03,3.3
22,TUB40305,TUB40305,3.73,4.0,3.0,0.3125,7.5,4.7,9.9,4.75,3.88
23,TUB40403,TUB40403,2.77,4.0,4.0,0.1875,6.6,6.6,10.6,3.91,3.91
24,TUB40404,TUB40404,3.59,4.0,4.0,0.25,8.2,8.2,13.5,4.97,4.97
25,TUB40405,TUB40405,4.36,4.0,4.0,0.3125,9.6,9.6,16.1,5.9,5.9
26,TUB40406,TUB40406,5.08,4.0,4.0,0.375,10.7,10.7,18.4,6.72,6.72
27,TUB40408,TUB40408,6.36,4.0,4.0,0.5,12.3,12.3,21.8,8.02,8.02
28,TUB45453,TUB45453,3.14,4.5,4.5,0.1875,9.6,9.6,15.4,5.03,5.03
29,TUB45454,TUB45454,4.09,4.5,4.5,0.25,12.1,12.1,19.7,6.43,6.43
30,TUB50203,TUB50203,2.39,5.0,2.0,0.1875,6.9,1.6,4.4,3.59,1.86
31,TUB50204,TUB50204,3.09,5.0,2.0,0.25,8.5,1.9,5.4,4.51,2.32
32,TUB50205,TUB50205,3.73,5.0,2.0,0.3125,9.7,2.2,6.2,5.31,2.7
33,TUB50303,TUB50303,2.77,5.0,3.0,0.1875,9.1,4.1,9.2,4.49,3.15
34,TUB50304,TUB50304,3.59,5.0,3.0,0.25,11.3,5.1,11.7,5.7,3.99
35,TUB50305,TUB50305,4.36,5.0,3.0,0.3125,13.2,5.9,13.8,6.77,4.72
36,TUB50306,TUB50306,5.08,5.0,3.0,0.375,14.7,6.5,15.6,7.71,5.35
37,TUB50308,TUB50308,6.36,5.0,3.0,0.5,16.9,7.3,18.2,9.2,6.35
38,TUB50403,TUB50403,3.14,5.0,4.0,0.1875,11.2,8.0,14.9,5.39,4.63
39,TUB50404,TUB50404,4.09,5.0,4.0,0.25,14.1,10.0,19.1,6.89,5.9
40,TUB50405,TUB50405,4.98,5.0,4.0,0.3125,16.6,11.7,22.9,8.24,7.05
41,TUB50406,TUB50406,5.83,5.0,4.0,0.375,18.7,13.2,26.3,9.44,8.08
42,TUB50503,TUB50503,3.52,5.0,5.0,0.1875,13.4,13.4,21.3,6.29,6.29
43,TUB50504,TUB50504,4.59,5.0,5.0,0.25,16.9,16.9,27.4,8.07,8.07
44,TUB50505,TUB50505,5.61,5.0,5.0,0.3125,20.1,20.1,33.1,9.7,9.7
45,TUB50506,TUB50506,6.58,5.0,5.0,0.375,22.8,22.8,38.2,11.2,11.2
46,TUB50508,TUB50508,8.36,5.0,5.0,0.5,27.0,27.0,46.8,13.7,13.7
47,TUB60203,TUB60203,2.77,6.0,2.0,0.1875,11.1,1.9,5.6,4.88,2.2
48,TUB60204,TUB60204,3.59,6.0,2.0,0.25,13.8,2.3,6.9,6.18,2.75
49,TUB60205,TUB60205,4.36,6.0,2.0,0.3125,16.0,2.6,7.9,7.33,3.22
50,TUB60206,TUB60206,5.08,6.0,2.0,0.375,17.8,2.8,8.7,8.33,3.61
51,TUB60303,TUB60303,3.14,6.0,3.0,0.1875,14.3,4.8,11.9,5.97,3.68
52,TUB60304,TUB60304,4.09,6.0,3.0,0.25,17.9,6.0,15.1,7.62,4.67
53,TUB60305,TUB60305,4.98,6.0,3.0,0.3125,21.1,7.0,17.9,9.11,5.56
54,TUB60306,TUB60306,5.83,6.0,3.0,0.375,23.8,7.8,20.3,10.4,6.34
55,TUB60403,TUB60403,3.52,6.0,4.0,0.1875,17.4,9.3,19.5,7.06,5.34
56,TUB60404,TUB60404,4.59,6.0,4.0,0.25,22.1,11.7,25.0,9.06,6.84
57,TUB60405,TUB60405,5.61,6.0,4.0,0.3125,26.2,13.8,30.1,10.9,8.21
58,TUB60406,TUB60406,6.58,6.0,4.0,0.375,29.7,15.6,34.6,12.5,9.44
59,TUB60408,TUB60408,8.36,6.0,4.0,0.5,35.3,18.4,42.1,15.4,11.5
60,TUB60503,TUB60503,3.89,6.0,5.0,0.1875,20.6,15.6,28.1,8.15,7.2
61,TUB60504,TUB60504,5.09,6.0,5.0,0.25,26.2,19.8,36.3,10.5,9.26
62,TUB60505,TUB60505,6.23,6.0,5.0,0.3125,31.2,23.5,43.9,12.7,11.2
63,TUB60506,TUB60506,7.33,6.0,5.0,0.375,35.6,26.8,50.9,14.7,12.9
64,TUB60508,TUB60508,9.36,6.0,5.0,0.5,42.9,32.1,62.9,18.1,16.0
